Sale_Period,Country,Store_ID,category_name,Sales,% of Store Sales
2020 Q2,France,ST-68,Smartphone,515398,0.143270261
2020 Q2,France,ST-68,Streaming Device,104368,0.029012201
2020 Q2,France,ST-68,Subscription Service,254064,0.070624674
2020 Q2,France,ST-68,Tablet,608065,0.16902982
2020 Q2,France,ST-68,Wearable,335748,0.09333118
2020 Q2,Germany,ST-24,Accessories,577238,0.136931527
2020 Q2,Germany,ST-24,Audio,609574,0.144602224
2020 Q2,Germany,ST-24,Desktop,317033,0.075206089
2020 Q2,Germany,ST-24,Laptop,541430,0.128437207
2020 Q2,Germany,ST-24,Smart Speaker,32000,0.007590992
2020 Q2,Germany,ST-24,Smartphone,504660,0.119714683
2020 Q2,Germany,ST-24,Streaming Device,155754,0.036947729
2020 Q2,Germany,ST-24,Subscription Service,237032,0.056228373
2020 Q2,Germany,ST-24,Tablet,716191,0.169893747
2020 Q2,Germany,ST-24,Wearable,524611,0.124447429
2020 Q2,Germany,ST-25,Accessories,497543,0.128865201
2020 Q2,Germany,ST-25,Audio,556143,0.144042785
2020 Q2,Germany,ST-25,Desktop,287537,0.074472987
2020 Q2,Germany,ST-25,Laptop,454553,0.117730656
2020 Q2,Germany,ST-25,Smart Speaker,64592,0.016729531
2020 Q2,Germany,ST-25,Smartphone,562487,0.145685901
2020 Q2,Germany,ST-25,Streaming Device,135953,0.035212254
2020 Q2,Germany,ST-25,Subscription Service,230821,0.059783365
2020 Q2,Germany,ST-25,Tablet,629812,0.163123288
2020 Q2,Germany,ST-25,Wearable,441516,0.114354032
2020 Q2,Germany,ST-27,Accessories,684769,0.179143067
2020 Q2,Germany,ST-27,Audio,499436,0.130657925
2020 Q2,Germany,ST-27,Desktop,313998,0.082145314
2020 Q2,Germany,ST-27,Laptop,540217,0.141326681
2020 Q2,Germany,ST-27,Smart Speaker,50168,0.013124498
2020 Q2,Germany,ST-27,Smartphone,433358,0.113371197
2020 Q2,Germany,ST-27,Streaming Device,172265,0.04506641
2020 Q2,Germany,ST-27,Subscription Service,263414,0.068911986
2020 Q2,Germany,ST-27,Tablet,501279,0.131140074
2020 Q2,Germany,ST-27,Wearable,363566,0.095112846
2020 Q2,Italy,ST-22,Accessories,593484,0.142765732
2020 Q2,Italy,ST-22,Audio,469571,0.112957801
2020 Q2,Italy,ST-22,Desktop,411610,0.099014974
2020 Q2,Italy,ST-22,Laptop,547984,0.131820465
2020 Q2,Italy,ST-22,Smart Speaker,81282,0.019552817
2020 Q2,Italy,ST-22,Smartphone,514812,0.123840764
2020 Q2,Italy,ST-22,Streaming Device,115656,0.027821666
2020 Q2,Italy,ST-22,Subscription Service,211698,0.05092508
2020 Q2,Italy,ST-22,Tablet,548239,0.131881807
2020 Q2,Italy,ST-22,Wearable,662712,0.159418895
2020 Q2,Italy,ST-23,Accessories,624523,0.147730568
2020 Q2,Italy,ST-23,Audio,548109,0.129654879
2020 Q2,Italy,ST-23,Desktop,400880,0.094827941
2020 Q2,Italy,ST-23,Laptop,478571,0.113205704
2020 Q2,Italy,ST-23,Smart Speaker,82602,0.019539457
2020 Q2,Italy,ST-23,Smartphone,580226,0.137252138
2020 Q2,Italy,ST-23,Streaming Device,116985,0.027672737
2020 Q2,Italy,ST-23,Subscription Service,385402,0.091166629
2020 Q2,Italy,ST-23,Tablet,593928,0.140493338
2020 Q2,Italy,ST-23,Wearable,416220,0.098456609
2020 Q2,Japan,ST-31,Accessories,578563,0.145627192
2020 Q2,Japan,ST-31,Audio,479658,0.12073231
2020 Q2,Japan,ST-31,Desktop,421633,0.106127129
2020 Q2,Japan,ST-31,Laptop,451377,0.113613842
2020 Q2,Japan,ST-31,Smart Speaker,65124,0.016392036
2020 Q2,Japan,ST-31,Smartphone,616740,0.155236533
2020 Q2,Japan,ST-31,Streaming Device,148259,0.03731753
2020 Q2,Japan,ST-31,Subscription Service,273069,0.068732829
2020 Q2,Japan,ST-31,Tablet,644544,0.162234939
2020 Q2,Japan,ST-31,Wearable,293938,0.07398566
2020 Q2,Japan,ST-32,Accessories,588584,0.139368473
2020 Q2,Japan,ST-32,Audio,579793,0.137286887
2020 Q2,Japan,ST-32,Desktop,333586,0.078988507
2020 Q2,Japan,ST-32,Laptop,528438,0.12512674
2020 Q2,Japan,ST-32,Smart Speaker,75174,0.017800154
2020 Q2,Japan,ST-32,Smartphone,535971,0.126910449
2020 Q2,Japan,ST-32,Streaming Device,128644,0.030461103
2020 Q2,Japan,ST-32,Subscription Service,232181,0.054977219
2020 Q2,Japan,ST-32,Tablet,792916,0.187751437
2020 Q2,Japan,ST-32,Wearable,427935,0.101329033
2020 Q2,Japan,ST-33,Accessories,544215,0.133840365
2020 Q2,Japan,ST-33,Audio,709135,0.174399616
2020 Q2,Japan,ST-33,Desktop,283871,0.069813214
2020 Q2,Japan,ST-33,Laptop,468657,0.115258168
2020 Q2,Japan,ST-33,Smart Speaker,86504,0.021274178
2020 Q2,Japan,ST-33,Smartphone,584018,0.143629232
2020 Q2,Japan,ST-33,Streaming Device,96076,0.023628248
2020 Q2,Japan,ST-33,Subscription Service,303725,0.074695965
2020 Q2,Japan,ST-33,Tablet,549850,0.135226197
2020 Q2,Japan,ST-33,Wearable,440099,0.108234817
2020 Q2,Japan,ST-34,Accessories,716416,0.173823418
2020 Q2,Japan,ST-34,Audio,539577,0.130917119
2020 Q2,Japan,ST-34,Desktop,281230,0.068234601
2020 Q2,Japan,ST-34,Laptop,460800,0.111803521
2020 Q2,Japan,ST-34,Smart Speaker,90918,0.022059359
2020 Q2,Japan,ST-34,Smartphone,644298,0.156325488
2020 Q2,Japan,ST-34,Streaming Device,122390,0.029695384
2020 Q2,Japan,ST-34,Subscription Service,212732,0.051614988
2020 Q2,Japan,ST-34,Tablet,611166,0.148286698
2020 Q2,Japan,ST-34,Wearable,441989,0.107239424
2020 Q2,Japan,ST-44,Accessories,584566,0.153841538
2020 Q2,Japan,ST-44,Audio,540098,0.142138795
2020 Q2,Japan,ST-44,Desktop,363545,0.095674949
2020 Q2,Japan,ST-44,Laptop,391367,0.102996926
2020 Q2,Japan,ST-44,Smart Speaker,71548,0.018829447
2020 Q2,Japan,ST-44,Smartphone,499632,0.131489268
2020 Q2,Japan,ST-44,Streaming Device,83306,0.021923826
2020 Q2,Japan,ST-44,Subscription Service,259719,0.068350829
2020 Q2,Japan,ST-44,Tablet,600684,0.158083348
2020 Q2,Japan,ST-44,Wearable,405328,0.106671074
2020 Q2,Japan,ST-72,Accessories,548824,0.132571275
2020 Q2,Japan,ST-72,Audio,609803,0.147301068
2020 Q2,Japan,ST-72,Desktop,371454,0.089726634
2020 Q2,Japan,ST-72,Laptop,449955,0.108688957
2020 Q2,Japan,ST-72,Smart Speaker,42434,0.010250152
2020 Q2,Japan,ST-72,Smartphone,562614,0.135902321
2020 Q2,Japan,ST-72,Streaming Device,127662,0.030837416
2020 Q2,Japan,ST-72,Subscription Service,236081,0.057026586
2020 Q2,Japan,ST-72,Tablet,646259,0.156107203
2020 Q2,Japan,ST-72,Wearable,544755,0.131588387
2020 Q2,Mexico,ST-60,Accessories,663097,0.166636594
2020 Q2,Mexico,ST-60,Audio,474398,0.119216445
2020 Q2,Mexico,ST-60,Desktop,314846,0.079120951
2020 Q2,Mexico,ST-60,Laptop,450674,0.113254593
2020 Q2,Mexico,ST-60,Smart Speaker,76346,0.019185786
2020 Q2,Mexico,ST-60,Smartphone,613900,0.154273365
2020 Q2,Mexico,ST-60,Streaming Device,104728,0.026318197
2020 Q2,Mexico,ST-60,Subscription Service,180976,0.045479356
2020 Q2,Mexico,ST-60,Tablet,701726,0.176344081
2020 Q2,Mexico,ST-60,Wearable,398609,0.100170633
2020 Q2,Mexico,ST-61,Accessories,769173,0.176786185
2020 Q2,Mexico,ST-61,Audio,566563,0.130218444
2020 Q2,Mexico,ST-61,Desktop,349036,0.08022219
2020 Q2,Mexico,ST-61,Laptop,452751,0.104059973
2020 Q2,Mexico,ST-61,Smart Speaker,68198,0.015674581
2020 Q2,Mexico,ST-61,Smartphone,598780,0.137623177
2020 Q2,Mexico,ST-61,Streaming Device,158727,0.036481703
2020 Q2,Mexico,ST-61,Subscription Service,210045,0.048276596
2020 Q2,Mexico,ST-61,Tablet,719133,0.165285026
2020 Q2,Mexico,ST-61,Wearable,458460,0.105372126
2020 Q2,Mexico,ST-62,Accessories,653722,0.158442761
2020 Q2,Mexico,ST-62,Audio,495199,0.120021503
2020 Q2,Mexico,ST-62,Desktop,487877,0.118246868
2020 Q2,Mexico,ST-62,Laptop,524948,0.127231776
2020 Q2,Mexico,ST-62,Smart Speaker,62070,0.015043921
2020 Q2,Mexico,ST-62,Smartphone,564488,0.136815095
2020 Q2,Mexico,ST-62,Streaming Device,91400,0.02215264
2020 Q2,Mexico,ST-62,Subscription Service,280639,0.068018543
2020 Q2,Mexico,ST-62,Tablet,548996,0.133060295
2020 Q2,Mexico,ST-62,Wearable,416580,0.100966597
2020 Q2,Netherlands,ST-26,Accessories,601216,0.157501421
2020 Q2,Netherlands,ST-26,Audio,488535,0.127982217
2020 Q2,Netherlands,ST-26,Desktop,352340,0.092303017
2020 Q2,Netherlands,ST-26,Laptop,449857,0.117849686
2020 Q2,Netherlands,ST-26,Smart Speaker,65942,0.017274921
2020 Q2,Netherlands,ST-26,Smartphone,534955,0.140142932
2020 Q2,Netherlands,ST-26,Streaming Device,59519,0.015592278
2020 Q2,Netherlands,ST-26,Subscription Service,229453,0.060110133
2020 Q2,Netherlands,ST-26,Tablet,579244,0.151745385
2020 Q2,Netherlands,ST-26,Wearable,456149,0.11949801
2020 Q2,Singapore,ST-42,Accessories,656887,0.157714452
2020 Q2,Singapore,ST-42,Audio,558767,0.134156455
2020 Q2,Singapore,ST-42,Desktop,344488,0.08270941
2020 Q2,Singapore,ST-42,Laptop,493693,0.118532595
2020 Q2,Singapore,ST-42,Smart Speaker,31232,0.007498607
2020 Q2,Singapore,ST-42,Smartphone,560579,0.134591505
2020 Q2,Singapore,ST-42,Streaming Device,125138,0.03004485
2020 Q2,Singapore,ST-42,Subscription Service,270331,0.064904779
2020 Q2,Singapore,ST-42,Tablet,577054,0.138547049
2020 Q2,Singapore,ST-42,Wearable,546871,0.1313003
2020 Q2,Singapore,ST-45,Accessories,633230,0.155774682
2020 Q2,Singapore,ST-45,Audio,595225,0.146425445
2020 Q2,Singapore,ST-45,Desktop,364110,0.089571118
2020 Q2,Singapore,ST-45,Laptop,421836,0.103771724
2020 Q2,Singapore,ST-45,Smart Speaker,56178,0.013819797
2020 Q2,Singapore,ST-45,Smartphone,560180,0.13780437
2020 Q2,Singapore,ST-45,Streaming Device,92448,0.022742223
2020 Q2,Singapore,ST-45,Subscription Service,304636,0.074940505
2020 Q2,Singapore,ST-45,Tablet,597023,0.146867754
2020 Q2,Singapore,ST-45,Wearable,440172,0.108282383
2020 Q2,Singapore,ST-66,Accessories,619247,0.160725066
2020 Q2,Singapore,ST-66,Audio,441821,0.114674289
2020 Q2,Singapore,ST-66,Desktop,258808,0.067173411
2020 Q2,Singapore,ST-66,Laptop,516691,0.134106738
2020 Q2,Singapore,ST-66,Smart Speaker,59724,0.015501317
2020 Q2,Singapore,ST-66,Smartphone,506664,0.131504238
2020 Q2,Singapore,ST-66,Streaming Device,151524,0.039327934
2020 Q2,Singapore,ST-66,Subscription Service,267361,0.069393335
2020 Q2,Singapore,ST-66,Tablet,545035,0.141463401
2020 Q2,Singapore,ST-66,Wearable,485959,0.126130272
2020 Q2,South Korea,ST-70,Accessories,626632,0.139650708
2020 Q2,South Korea,ST-70,Audio,649402,0.144725212
2020 Q2,South Korea,ST-70,Desktop,309861,0.069055376
2020 Q2,South Korea,ST-70,Laptop,595190,0.132643569
2020 Q2,South Korea,ST-70,Smart Speaker,40572,0.009041844
2020 Q2,South Korea,ST-70,Smartphone,529112,0.117917479
2020 Q2,South Korea,ST-70,Streaming Device,127141,0.028334542
2020 Q2,South Korea,ST-70,Subscription Service,249600,0.055625657
2020 Q2,South Korea,ST-70,Tablet,774689,0.172646573
2020 Q2,South Korea,ST-70,Wearable,584939,0.13035904
2020 Q2,South Korea,ST-71,Accessories,644825,0.172129364
2020 Q2,South Korea,ST-71,Audio,529580,0.141365904
2020 Q2,South Korea,ST-71,Desktop,315513,0.084222932
2020 Q2,South Korea,ST-71,Laptop,467461,0.124783879
2020 Q2,South Korea,ST-71,Smart Speaker,93470,0.02495085
2020 Q2,South Korea,ST-71,Smartphone,512387,0.13677641
2020 Q2,South Korea,ST-71,Streaming Device,119195,0.031817872
